,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
Delta State University,10.280027286701202,93.56297171785457,97.14373042501575,1086.1827325228103,65.46683208915974,100.0,24.613846877062244,26.561436584988734,53.82752395325582,91.45318886983257,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.51644496405154,59.715901587636225,100.0,100.0,100.0,100.0,58.80408679622894,100.0,100.0,115.81652261483119
Jackson State University,112.4104662456854,50.42851754593778,98.7881632195633,100.0,100.0,334.1281532579818,789.2294937947189,213.78917681001198,179.15343068288874,65.67097839281355,45.497894991850636,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.47816357851984,100.0,100.0,129.36170120374913
University of Mississippi Main Campus,88.77514402027748,60.06051925358227,91.34664139256537,100.0,22.67088965320702,100.0,71.86499962145118,100.0,98.72776767609255,61.722752878953344,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.59902232800404
Mississippi Valley State University,472.99697039720553,81.06380597127809,99.71756435820419,100.0,100.0,100.0,892.6757640041767,51.96465522380189,456.9522433423471,56.89828106285761,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.832952165164386,100.0,100.0,142.69069489140733
Mississippi College,83.53863951841085,77.09981109103286,69.51584956205565,100.0,85.82451343430719,100.0,27.794559468665863,92.57827411160473,129.9107834535893,57.899533572590464,148.14810346858002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.7263530588093,100.0,100.0,95.65738814811395
Mississippi State University,39.197782505633285,67.88779056482012,73.56154503862928,377.3760642876119,68.72999285987152,100.0,62.07630568534762,79.9900920122949,0.5335065537674387,31.207174954379557,63.50698824898927,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.488683381827855,71.79315168580803,100.0,92.63590868059315
Rust College,641.7457249826316,40.468571688792096,97.80631897855007,100.0,62.42678307746552,100.0,228.09040764017422,490.1556509936357,134.60323445728437,48.78736380922975,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,129.50262673836758
University of Southern Mississippi,34.50159316932992,73.58847461938085,91.63728240959865,100.0,90.7340561350635,100.0,35.945864027261024,68.46666120158946,63.311093187907815,22.028431904432107,118.9759498886181,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.73153748933728,100.0,100.0,88.8725295010162
Avila University,542.8447291460288,75.0926584792378,37.960162259212034,100.0,129.06650245110922,100.0,100.0,60.02327013545514,196.51882420173007,62.2046812549914,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.34818981509602,323.35593009603383,100.0,100.0,100.0,100.0,307.8346633794916,959.4325738363804,100.0,100.0,100.0,100.0,39.27510323967523,100.0,100.0,150.0611652592013
Baptist Bible College and Graduate School,100.0,100.0,94.18804535365072,100.0,100.0,100.0,100.0,100.0,51.599886910227276,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.3058728832462
Cox College,100.0,96.82214710862618,100.0,100.0,104.58134906410767,100.0,100.0,7.110728622648309,100.0,1317.7242111168562,258.1286154802314,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,140.13647035601468
University of Central Missouri,11.842864918164,45.293583506975864,10.229253773261556,100.0,84.12593791417491,100.0,54.65199315455548,22.87913455048835,24.241264262234363,29.891721686215906,10.74200929583368,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.18100370988254,27.760970592477186,100.0,77.05749179263326
Cleveland Chiropractic College,100.0,94.01996319596726,100.0,100.0,100.0,100.0,1020.5468124228549,101.5593928242839,70.68581197622504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,127.7128743881041
Concordia Seminary,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.9368335874797,248.7306479568426,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,103.42710879826006
Culver-Stockton College,581.6880500597765,398.4806154071578,685.6149635796439,100.0,604.4321620748183,100.0,100.0,145.87527158994192,346.99194123315954,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1280.5583742580457,3371.778195107586,100.0,100.0,100.0,100.0,178.70785763505904,623.9997221324522,100.0,100.0,100.0,100.0,522.4767314137769,464.8241226948451,100.0,350.1696252245707
